latitud,longitud
4.438035552223734,-75.19937161231687
4.4379952102159725,-75.19923092561164
4.437954868188858,-75.19909023894775
4.4380458669422405,-75.19914813457046
4.4380055247973385,-75.19900744757197
4.437965182633082,-75.1988667606148
4.4380561816408965,-75.19892465578806
4.438015839358852,-75.19878396849629
4.4379754970574545,-75.19864328124584
4.438066496319701,-75.19870117596963
4.438026153900512,-75.19856048838457
4.4379858114619735,-75.19841980084084
4.43807681097865,-75.19847769511517
4.43803646842232,-75.19833700723683
4.437996125846636,-75.19819631939984
4.438053836566752,-75.19952185901296
4.4379297074229855,-75.19908897720747
4.438101972125433,-75.19847895634797
4.43797784101245,-75.19804607033127
